words,links,capital_words,spam_word_count,is_spam
269,3,0,1,0
768,9,4,2,1
740,9,17,3,1
406,0,1,0,0
204,2,2,2,0
45,1,2,1,0
759,2,1,2,1
760,10,9,7,1
87,0,1,0,0
238,2,2,1,0
170,2,1,2,0
179,2,20,0,1
148,8,4,8,1
277,2,8,1,0
116,10,5,0,1
761,2,2,6,1
495,5,1,5,0
281,2,1,1,0
393,4,6,9,1
148,2,3,2,0
719,9,2,8,1
127,6,28,10,1
112,1,2,0,0
127,9,2,7,1
198,9,6,10,1
374,10,30,5,1
214,2,3,0,0
750,2,13,6,1
670,2,16,2,1
217,2,3,2,0
122,8,12,8,1
288,5,1,2,0
122,9,5,9,1
68,1,1,2,0
192,2,3,2,0
388,7,24,2,1
400,10,27,10,1
959,3,13,10,1
125,2,2,2,0
691,3,26,3,1
193,6,1,8,1
477,10,15,8,1
118,1,3,0,0
917,6,2,3,1
755,10,26,5,1
194,3,19,3,1
103,1,3,1,0
176,0,11,1,1
430,8,18,6,1
753,1,5,3,1
581,0,13,6,1
167,2,17,6,1
277,2,1,1,0
159,1,1,1,0
633,8,19,7,1
233,1,2,0,0
51,2,4,2,0
211,4,1,0,0
898,2,3,7,1
256,1,3,1,0
150,2,10,1,0
280,0,7,0,0
161,1,3,1,0
667,1,1,7,1
40,2,1,1,0
247,0,0,0,0
983,3,14,5,1
216,1,1,2,0
757,9,30,3,1
256,4,3,8,1
180,0,8,4,1
153,5,13,3,1
25,2,0,2,0
389,1,27,2,1
302,2,2,2,0
145,0,0,1,0
873,2,16,7,1
452,5,24,3,1
205,0,0,2,0
260,8,5,4,1
168,0,0,1,0
567,5,16,3,1
932,6,7,5,1
279,2,0,2,0
208,2,1,0,0
232,1,2,1,0
218,2,2,1,0
162,7,30,10,1
955,8,30,7,1
124,9,7,5,1
852,3,11,6,1
332,7,5,6,1
279,2,3,5,1
45,0,4,1,0
878,5,4,5,1
960,1,5,3,1
559,4,19,4,1
242,1,1,3,0
527,4,20,9,1
446,8,3,10,1
695,3,25,10,1
489,2,26,8,1
432,2,2,4,0
67,5,2,2,0
959,2,30,3,1
216,1,0,1,0
281,1,2,0,0
192,1,3,0,0
151,1,2,6,0
162,9,4,10,1
550,4,19,4,1
145,1,2,0,0
200,1,0,0,0
178,2,1,2,0
523,7,18,7,1
182,2,0,2,0
474,8,23,6,1
158,1,3,0,0
812,7,11,6,1
665,9,15,8,1
468,9,12,7,1
39,2,5,1,0
430,8,16,3,1
422,5,23,7,1
498,8,17,10,1
22,1,1,2,0
274,0,1,1,0
832,4,16,1,1
79,4,25,6,1
372,8,6,9,1
198,5,27,0,1
50,4,1,1,0
33,2,2,2,0
838,2,6,9,1
292,0,1,0,0
399,9,21,2,1
237,1,1,1,0
136,9,10,3,1
225,0,3,6,0
251,5,5,0,0
98,6,3,6,1
141,7,19,3,1
77,3,3,2,0
239,0,4,2,0
351,10,7,4,1
166,2,0,1,0
565,6,7,7,1
284,2,3,4,0
547,3,2,3,1
239,2,0,0,0
289,0,0,0,0
460,4,0,1,0
229,0,1,2,0
82,0,2,1,0
735,7,30,1,1
261,2,2,2,0
170,2,0,0,0
837,7,26,3,1
191,1,0,2,0
596,2,6,2,1
252,1,2,2,0
130,0,1,2,0
490,5,7,7,1
410,5,22,9,1
122,1,1,1,0
871,8,5,4,1
475,0,0,2,0
873,0,17,8,1
211,1,2,2,0
95,1,3,1,0
261,0,0,4,0
879,0,5,3,1
128,0,0,0,0
107,1,1,0,0
203,7,28,3,1
281,2,11,6,1
962,8,5,5,1
215,0,0,0,0
260,1,0,2,0
33,2,1,1,0
74,2,3,4,0
156,2,2,5,0
